Applicant_ID,Name,Age,Gender,Skills,CGPA,Experience_Years
169,Mr. David Lynn,24,Male,Power BI,3.55,Yes
48,Jacob Sullivan,28,Female,SQL,2.12,Yes
95,Bruce Ferguson,24,Female,Tableau,3.11,Yes
155,Susan Adams,29,Female,Tableau,3.33,Yes
44,Michael Cowan,21,Male,Excel,3.45,Yes
139,Lindsay Cunningham,24,Female,SQL,3.39,Yes
4,Jacqueline Soto,21,Female,Python,3.12,Yes
106,Rachel Howe,24,Female,Machine Learning,2.99,Yes
54,Lisa Ramirez,18,Female,Machine Learning,2.0,Yes
134,Meghan Jones,19,Male,Power BI,2.93,Yes
181,Erika Mitchell,29,Male,Machine Learning,3.89,Yes
179,Louis Carter,19,Male,Excel,3.59,Yes
186,Donald Booth,25,Male,Data Analysis,3.83,Yes
50,Peggy Peterson,25,Female,Machine Learning,2.37,Yes
81,Jordan Freeman,27,Female,Excel,3.85,Yes
35,Thomas Hess,19,Female,Data Analysis,3.63,Yes
8,Ashley Smith,19,Male,Machine Learning,2.19,Yes
111,Leslie Hernandez,27,Male,Data Analysis,3.23,Yes
92,Tanner Mckinney,24,Male,Power BI,2.73,No
84,Randall Munoz,19,Female,Python,3.72,Yes
177,Danielle Reid,30,Female,Power BI,2.85,Yes
182,Elizabeth Meza,26,Female,Data Analysis,2.16,No
90,Jonathan Robinson,24,Male,Communication,2.87,Yes
9,Austin Davis,27,Male,Python,3.46,Yes
14,Casey Dean,24,Male,Power BI,2.42,Yes
60,Elizabeth Ferguson,27,Male,Power BI,2.81,Yes
172,Joseph Johnson,19,Female,Power BI,2.53,No
132,Julie Gentry,24,Male,Power BI,2.4,No
18,Samantha Jones,21,Male,Communication,2.8,No
73,Teresa Escobar,18,Male,Machine Learning,3.66,No
176,David Davis,29,Female,SQL,3.37,Yes
135,Kristi Ballard,30,Male,Excel,3.21,Yes
168,Tara Thompson,22,Male,Power BI,2.24,Yes
184,Katherine Jimenez,19,Female,Python,4.0,Yes
64,Brian Wolf,20,Female,Tableau,2.91,No
55,Travis Drake,22,Female,Tableau,2.85,Yes
108,Christopher Leon,30,Female,Power BI,2.35,Yes
51,Anthony Alexander,21,Male,Data Analysis,3.62,Yes
58,Lisa Trujillo,18,Male,Data Analysis,3.01,Yes
59,Robert Anderson,20,Male,SQL,3.7,No
49,Brooke Garza,24,Male,Power BI,2.38,Yes
89,Gina Taylor,22,Female,Tableau,2.08,Yes
22,John Martin,27,Female,Communication,2.44,Yes
161,Michael Smith,22,Female,Power BI,2.36,No
130,Nicole Rogers,18,Female,Python,4.0,Yes
38,Sherri Andrade,30,Female,Power BI,3.43,Yes
158,Heather Bowman,22,Male,Power BI,2.24,Yes
2,Christopher Schwartz,21,Female,SQL,3.35,Yes
53,Ashley Lawrence,20,Female,Power BI,2.96,Yes
150,Angela Potter,23,Female,Data Analysis,2.42,Yes
131,Michael Mcintyre,21,Female,SQL,3.56,Yes
152,Jeffrey Olsen,21,Male,Power BI,3.44,Yes
104,Crystal Cook,24,Male,Power BI,3.97,Yes
100,Jennifer Haney,28,Female,Data Analysis,3.59,Yes
117,Allison Morris,24,Female,Excel,3.41,No
88,Kimberly Salinas,28,Male,Communication,3.88,No
75,Linda Flores,20,Female,Data Analysis,3.1,Yes
122,Kimberly Sanchez MD,26,Male,Power BI,2.98,Yes
21,Sabrina Cervantes,21,Female,Tableau,3.49,Yes
189,Timothy Mercado,20,Male,Machine Learning,3.39,Yes
72,Jorge Gutierrez,28,Female,Tableau,3.01,Yes
107,Janice Love,20,Female,Python,3.79,No
15,Diane Taylor,29,Female,SQL,3.22,Yes
93,Sarah Scott,24,Male,Communication,3.33,No
180,Ricardo Vaughn,29,Male,Tableau,2.88,Yes
103,John Martin,28,Male,Power BI,3.61,Yes
